Miles,Price,Duration,PPM,Miles1,Price1,Duration1,PPM1
2704,56355,6.333,20.84135,2704,56355,6.333,20.84135
3645,39025,8.333,10.70644,3645,39025,8.333,10.70644
3848,113005,8.751,29.36721,3854,83379,8.4,21.63441
3854,83379,8.4,21.63441,3848,113005,8.751,29.36721
4059,129079,9.164,31.20069,4120,89634,9,21.75582
4120,89634,9,21.75582,4059,129079,9.164,31.20069
4956,84858,11.14,17.12228,5590,96365,10.4,17.23881
5590,96365,10.4,17.23881,4956,84858,11.14,17.12228
7807,92207,15.52,11.81081,7807,92207,15.52,11.81081
